,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
47,47,0.76044791263312,2025-04-06 17:44:00.783191,2025-04-06 17:49:21.725771,0 days 00:05:20.942580,0.707896661014684,0.3784955652750236,0.09264116549327714,6,912,0.00029080829006885027,5.28325971952364e-08,0.9431617557489098,COMPLETE
48,48,0.773918153377563,2025-04-06 17:49:21.753821,2025-04-06 17:54:31.937276,0 days 00:05:10.183455,0.8820452389615568,0.3085863326581829,0.03403403054943392,5,885,0.9898923552248042,1.1509427732651694e-07,0.9211626143507777,COMPLETE
49,49,0.7734691342570739,2025-04-06 17:54:31.951275,2025-04-06 18:01:18.832592,0 days 00:06:46.881317,0.8603010534870958,0.29403069114689373,0.020497876777927523,7,889,0.3860685051220686,2.830555812761501e-06,0.916840071949447,COMPLETE
50,50,0.771826877220559,2025-04-06 22:20:35.408123,2025-04-06 22:28:25.067103,0 days 00:07:49.658980,0.8695124542777195,0.3039258578437131,0.015513353180440845,9,774,0.6742885913143027,1.168467632877567e-05,0.9333433287377486,COMPLETE
51,51,0.772098641272698,2025-04-06 22:28:25.082004,2025-04-06 22:33:37.330983,0 days 00:05:12.248979,0.8703785645375116,0.32034433171121535,0.03179504626917172,7,893,0.0911332086914969,2.866564015432757e-07,0.9143772697638438,COMPLETE
52,52,0.7733630432817915,2025-04-06 22:33:37.349503,2025-04-06 22:38:47.341733,0 days 00:05:09.992230,0.9251666981049396,0.27738540047932947,0.023127473117220486,6,967,0.1652687780975137,3.157208784365977e-06,0.9209589707280403,COMPLETE
53,53,0.7729492009745104,2025-04-06 22:38:47.353243,2025-04-06 22:44:37.737953,0 days 00:05:50.384710,0.9317301969635656,0.29259158016755643,0.021910418285169573,7,941,0.13528003399053146,3.6881852344217963e-06,0.8939393465092116,COMPLETE
54,54,0.7313877830880414,2025-04-06 22:44:37.749954,2025-04-06 22:49:28.277338,0 days 00:04:50.527384,0.9679192867233614,0.27649217694786243,0.2953181034030551,6,970,0.9153608855669308,0.0002089533844736616,0.943098578845473,COMPLETE
55,55,0.770816580998783,2025-04-06 22:49:28.289162,2025-04-06 22:53:50.223050,0 days 00:04:21.933888,0.9528160073417709,0.36154414232475274,0.0195114380005199,5,961,0.02230012170900111,0.0027812986001617005,0.9859281913233591,COMPLETE
56,56,0.772275978167008,2025-04-06 22:53:50.236388,2025-04-06 22:59:08.566153,0 days 00:05:18.329765,0.8846895177349302,0.21856194725933092,0.016378395796755787,7,838,0.28419051801900597,1.013758967230013e-07,0.8299251520378688,COMPLETE
