,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
46,46,0.7660060417171678,2025-04-07 15:41:02.522941,2025-04-07 15:45:29.484182,0 days 00:04:26.961241,0.710255340520389,0.05496564357918621,7,941,25,9.105033816793754e-05,0.08286789665530582,0.7304458823664364,COMPLETE
47,47,0.7609475653236678,2025-04-07 15:45:29.497913,2025-04-07 15:48:19.405678,0 days 00:02:49.907765,0.7465681319097454,0.08497149404473452,11,501,38,0.000638718225503189,5.325374871252744e-05,0.70260175036829,COMPLETE
48,48,0.7720132071775193,2025-04-07 15:48:19.419893,2025-04-07 15:54:22.322364,0 days 00:06:02.902471,0.6869704672442227,0.020019047883657572,12,879,47,1.555072353805269e-05,0.028311898484126623,0.9392370873036375,COMPLETE
49,49,0.7265453400316175,2025-04-07 15:54:22.344671,2025-04-07 15:57:30.656153,0 days 00:03:08.311482,0.6009016763527173,0.2527464065226839,6,647,31,5.211231668822284e-06,0.004388558270550249,0.638699457574529,COMPLETE
50,50,0.7719801617357452,2025-04-07 15:57:30.677589,2025-04-07 16:00:25.365712,0 days 00:02:54.688123,0.6576632771634597,0.030110157374903846,9,354,59,4.082565521307233e-08,0.2273108770140731,0.908718138250955,COMPLETE
51,51,0.7694015106786664,2025-04-07 16:00:25.380970,2025-04-07 16:04:04.432060,0 days 00:03:39.051090,0.8619880471720079,0.014871247448234065,4,747,52,0.010900930634121607,0.00978398629302568,0.8741558363655295,COMPLETE
52,52,0.7716276744258384,2025-04-07 16:04:04.456061,2025-04-07 16:08:41.912459,0 days 00:04:37.456398,0.6227387420100929,0.023757129387502615,8,540,64,1.468141139616852e-06,0.5424124900388461,0.7880325538318058,COMPLETE
53,53,0.7719887985493181,2025-04-07 16:08:41.927478,2025-04-07 16:13:07.325734,0 days 00:04:25.398256,0.6330446693343234,0.026247743581057314,10,483,72,8.457962650835919e-07,0.1566846538760078,0.7699939823321238,COMPLETE
54,54,0.7637810213068787,2025-04-07 16:13:07.341586,2025-04-07 16:17:44.379472,0 days 00:04:37.037886,0.7579491932761944,0.041189383201276866,8,573,84,2.6864563978294076e-06,0.7201123921771757,0.8503557100953997,COMPLETE
55,55,0.7685369498314686,2025-04-07 16:17:44.393146,2025-04-07 16:22:11.101032,0 days 00:04:26.707886,0.7176601728782891,0.03546542854817848,6,715,65,1.5475319386279064e-07,0.33359503759386344,0.7379456345138429,COMPLETE
56,56,0.7720654332922824,2025-04-07 16:22:11.127029,2025-04-07 16:26:55.592537,0 days 00:04:44.465508,0.6927545738505547,0.018738942408811965,5,819,36,0.0001684212352234025,0.09907423369827707,0.9228026404974391,COMPLETE
57,57,0.7723142064762208,2025-04-07 16:26:55.605535,2025-04-07 16:30:16.159949,0 days 00:03:20.554414,0.67354952047731,0.023594723341911664,7,428,45,8.257050730728543e-06,0.04573930311740983,0.8116806387618399,COMPLETE
58,58,0.7574761863634221,2025-04-07 16:30:16.173066,2025-04-07 16:34:30.208723,0 days 00:04:14.035657,0.6493412203540904,0.05929020279145089,10,623,68,6.285379513354617e-05,1.2597926630196724e-05,0.7592349071219602,COMPLETE
59,59,0.7730705477598979,2025-04-07 16:34:30.231260,2025-04-07 16:39:33.573213,0 days 00:05:03.341953,0.6139440630864874,0.031461686797938516,9,890,24,2.2681805374417322e-05,0.0016300397203039233,0.8948013686209304,COMPLETE
60,60,0.7684221752849218,2025-04-07 16:39:33.587539,2025-04-07 16:46:07.866700,0 days 00:06:34.279161,0.63009538393117,0.027316446724154966,11,957,50,0.00040425213994320163,0.014228920120923173,0.8384269042140915,COMPLETE
61,61,0.7698889985764955,2025-04-07 16:46:07.881704,2025-04-07 16:50:37.280120,0 days 00:04:29.398416,0.8120488980054908,0.04245059608691583,8,778,30,1.220329548779174e-06,0.9462751107799175,0.9542201938642308,COMPLETE
62,62,0.7729522674997729,2025-04-07 16:50:37.302124,2025-04-07 16:56:25.036389,0 days 00:05:47.734265,0.6490350923010446,0.021808144025470263,10,844,39,2.498846118380161e-05,0.04171534981198981,0.9835605398900246,COMPLETE
63,63,0.7727914767051958,2025-04-07 16:56:25.051389,2025-04-07 17:02:16.022978,0 days 00:05:50.971589,0.6536834429219315,0.021493063234768697,10,876,36,3.5161832034374684e-06,0.18007855511563373,0.9559550331791841,COMPLETE
64,64,0.7703859203952085,2025-04-09 11:49:14.660105,2025-04-09 11:51:16.481916,0 days 00:02:01.821811,0.6789087828343252,0.016088624922168504,9,699,40,1.1559985089079616e-05,0.07352874777866501,0.9227579537005057,COMPLETE
65,65,0.7688770296539728,2025-04-09 11:51:16.495155,2025-04-09 11:53:53.004624,0 days 00:02:36.509469,0.6918983476774453,0.023105304526681403,11,920,43,2.979677332065154e-07,0.4701503166858939,0.9781651000681235,COMPLETE
66,66,0.7690684088849677,2025-04-09 11:53:53.023621,2025-04-09 11:56:08.254982,0 days 00:02:15.231361,0.641506289449096,0.028015689367904932,10,824,35,0.10797976323917512,0.03561633826725236,0.9423426127985531,COMPLETE
67,67,0.7676164055550186,2025-04-09 11:56:08.267563,2025-04-09 11:57:57.732208,0 days 00:01:49.464645,0.6999536239591815,0.034399675204619666,6,641,55,6.982327501909822e-06,0.15280625123255231,0.8839840035747951,COMPLETE
68,68,0.7700359735865356,2025-04-09 11:57:57.753213,2025-04-09 12:00:24.706925,0 days 00:02:26.953712,0.6125867629723023,0.012624971710527033,9,751,29,9.713536797807537e-08,0.0041456079722799735,0.7825636139874793,COMPLETE
69,69,0.7687333644205184,2025-04-09 12:00:24.720926,2025-04-09 12:03:28.279283,0 days 00:03:03.558357,0.6686229953059529,0.019131273584572783,11,795,81,2.0228570588126155e-06,0.25959903892938596,0.964936692496124,COMPLETE
70,70,0.7677102749603856,2025-04-09 12:03:28.301900,2025-04-09 12:05:43.770686,0 days 00:02:15.468786,0.723810070822774,0.03799978049449259,5,961,44,2.1393373922449914e-08,0.013787975454478093,0.684903746434147,COMPLETE
71,71,0.7593276117059616,2025-04-09 12:05:43.783685,2025-04-09 12:08:02.783731,0 days 00:02:19.000046,0.7545471705604986,0.05172654911429236,12,863,49,3.0822302430675966e-05,0.021389783953347688,0.8050320726238297,COMPLETE
72,72,0.7693472428113778,2025-04-09 12:08:02.806302,2025-04-09 12:10:18.914741,0 days 00:02:16.108439,0.6529572746776094,0.026612781735506522,12,905,26,4.6642883466383145e-05,0.0270550150690842,0.9727889582257773,COMPLETE
73,73,0.7690968364480748,2025-04-09 12:10:18.937027,2025-04-09 12:12:50.856109,0 days 00:02:31.919082,0.6240586321152033,0.02883873408292201,12,980,32,0.0002471412149683583,0.08415616282910607,0.9931977963548501,COMPLETE
